0,1,2,3,4,5,6,7
95.0,0.0,4.0,101.0,0.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,24.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,21.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,17.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,16.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,26.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,14.0,1.0,800.0,10.0
95.0,0.0,4.0,101.0,0.0,1.0,700.0,10.0
94.0,2.0,3.0,101.0,14.0,1.0,700.0,10.0
95.0,0.0,4.0,101.0,0.0,1.0,700.0,30.0
95.0,0.0,4.0,101.0,0.0,1.0,700.0,60.0
95.0,0.0,4.0,101.0,14.0,1.0,700.0,10.0
95.0,0.0,4.0,101.0,14.0,1.0,700.0,30.0
95.0,0.0,4.0,101.0,14.0,1.0,700.0,60.0
95.0,0.0,4.0,101.0,0.0,1.0,750.0,10.0
95.0,0.0,4.0,101.0,14.0,1.0,750.0,10.0
99.0,0.0,0.0,101.0,26.0,1.0,770.0,10.0
98.5,0.0,0.0,101.0,26.0,1.0,790.0,10.0
98.0,0.0,0.0,101.0,26.0,2.0,810.0,10.0
80.0,10.0,10.0,110.0,27.0,1.0,780.0,15.0
80.0,10.0,10.0,110.0,27.0,2.0,780.0,15.0
80.0,10.0,10.0,110.0,27.0,3.0,780.0,15.0
80.0,10.0,10.0,110.0,27.0,4.0,780.0,15.0
88.0,0.0,10.0,101.0,0.0,2.0,720.0,10.0
86.0,0.0,10.0,101.0,0.0,4.0,720.0,10.0
84.0,0.0,10.0,101.0,0.0,6.0,720.0,10.0
94.35,1.82,2.0,101.0,0.0,0.0,680.0,10.0
94.35,1.82,2.0,101.0,0.0,0.0,700.0,10.0
94.35,1.82,2.0,101.0,0.0,0.0,730.0,10.0
94.35,1.82,2.0,101.0,0.0,0.0,750.0,10.0
92.0,3.3,4.0,101.0,0.0,0.0,750.0,10.0
92.0,3.3,4.0,101.0,16.0,0.0,770.0,10.0
94.0,3.0,3.0,103.0,29.0,0.0,680.0,24.0
94.0,3.0,3.0,103.0,10.0,0.0,680.0,24.0
80.0,17.0,0.0,105.0,0.0,3.0,780.0,12.0
80.0,15.0,0.0,105.0,0.0,5.0,780.0,12.0
80.0,10.0,0.0,105.0,0.0,10.0,780.0,12.0
80.0,15.0,5.0,101.0,8.0,0.0,770.0,10.0
80.0,15.0,5.0,101.0,8.0,1.0,770.0,10.0
80.0,15.0,5.0,101.0,8.0,2.0,770.0,10.0
90.0,5.0,5.0,104.0,14.0,0.0,760.0,10.0
90.0,5.0,5.0,104.0,14.0,1.0,760.0,10.0
90.0,5.0,5.0,104.0,14.0,1.0,760.0,10.0
94.651,0.0,3.0,101.0,16.0,0.0,700.0,10.0
95.658,0.0,3.0,101.0,16.0,0.0,700.0,10.0
95.393,0.0,4.0,101.0,16.0,0.0,700.0,10.0
95.696,0.0,0.0,101.0,0.0,4.0,650.0,10.0
95.696,0.0,0.0,101.0,0.0,4.0,680.0,10.0
99.254,0.0,0.0,101.0,24.0,0.0,650.0,10.0
99.254,0.0,0.0,101.0,24.0,0.0,680.0,10.0
99.254,0.0,0.0,101.0,24.0,0.0,700.0,10.0
99.0,0.0,0.0,101.0,24.0,1.0,680.0,10.0
98.0,0.0,0.0,101.0,0.0,2.0,650.0,10.0
94.0,0.0,0.0,101.0,0.0,6.0,650.0,10.0
98.6,0.0,0.0,101.0,29.0,1.0,650.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,13.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,24.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,14.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,13.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,24.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,14.0,1.0,730.0,10.0
90.0,7.0,3.0,101.0,21.0,1.0,730.0,10.0
90.0,10.0,0.0,101.0,21.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,750.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,770.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,790.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,850.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,750.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,770.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,90.0,10.0
90.0,0.0,10.0,101.0,21.0,1.0,850.0,10.0
84.0,6.0,10.0,105.0,25.0,0.0,760.0,15.0
84.0,6.0,10.0,105.0,25.0,1.0,760.0,15.0
84.0,6.0,10.0,105.0,25.0,2.0,760.0,15.0
94.0,0.0,6.0,103.0,0.0,2.0,680.0,12.0
95.0,0.0,5.0,102.0,23.0,1.0,740.0,12.0
95.0,0.0,5.0,102.0,23.0,1.0,740.0,12.0
85.0,5.0,10.0,103.0,26.0,1.0,760.0,6.0
85.0,5.0,10.0,103.0,26.0,1.0,900.0,6.0
50.0,20.0,30.0,105.0,0.0,0.0,700.0,12.0
100.0,0.0,0.0,103.0,16.0,1.0,700.0,16.0
100.0,0.0,0.0,103.0,16.0,1.0,700.0,16.0
100.0,0.0,0.0,103.0,16.0,1.0,750.0,16.0
90.0,5.0,5.0,101.0,0.0,0.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,1.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,2.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,3.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,5.0,750.0,28.0
80.0,10.0,10.0,101.0,15.0,5.0,800.0,15.0
80.0,10.0,10.0,101.0,15.0,10.0,800.0,15.0
80.0,10.0,10.0,101.0,15.0,15.0,800.0,15.0
80.0,20.0,0.0,103.0,0.0,1.0,700.0,8.0
80.0,1.0,1.0,103.0,1.0,1.0,800.0,10.0
80.0,1.0,1.0,103.0,1.0,2.0,800.0,10.0
80.0,1.0,1.0,103.0,1.0,3.0,800.0,10.0
80.0,1.0,1.0,103.0,1.0,4.0,800.0,10.0
90.0,10.0,0.0,103.0,13.0,1.0,730.0,12.0
90.0,10.0,0.0,103.0,9.0,1.0,730.0,12.0
92.0,4.0,4.0,103.0,0.0,0.0,750.0,12.0
92.0,4.0,4.0,103.0,16.0,0.0,750.0,12.0
85.0,0.0,15.0,105.0,0.0,5.0,750.0,12.0
80.0,10.0,10.0,105.0,15.0,0.0,750.0,15.0
80.0,10.0,10.0,105.0,15.0,1.0,750.0,15.0
80.0,10.0,10.0,105.0,15.0,2.0,750.0,15.0
90.0,0.0,10.0,102.0,13.0,1.0,780.0,10.0
90.0,0.0,10.0,102.0,26.0,1.0,780.0,10.0
60.0,35.0,5.0,105.0,15.0,2.0,870.0,10.0
83.0,5.0,12.0,105.0,13.0,0.0,750.0,10.0
83.0,5.0,12.0,105.0,13.0,0.0,750.0,10.0
83.0,5.0,12.0,105.0,13.0,1.0,750.0,10.0
83.0,5.0,12.0,105.0,13.0,1.0,750.0,10.0
60.0,20.0,20.0,105.0,24.0,1.0,850.0,10.0
80.0,10.0,10.0,105.0,24.0,0.0,900.0,10.0
80.0,10.0,10.0,105.0,24.0,1.0,900.0,10.0
90.0,5.0,5.0,101.0,28.0,0.0,750.0,20.0
90.0,5.0,5.0,101.0,28.0,0.0,750.0,20.0
90.0,5.0,0.0,101.0,28.0,5.0,750.0,20.0
94.0,3.0,3.0,103.0,1.0,0.0,680.0,24.0
90.0,5.0,5.0,108.0,14.0,1.0,775.0,6.0
92.0,4.0,4.0,108.0,26.0,0.0,780.0,10.0
92.0,4.0,4.0,108.0,26.0,0.0,780.0,10.0
92.0,4.0,4.0,108.0,26.0,1.0,780.0,10.0
92.0,4.0,4.0,108.0,26.0,2.0,780.0,10.0
60.0,20.0,20.0,103.0,1.0,2.0,780.0,18.0
60.0,20.0,20.0,103.0,24.0,2.0,780.0,18.0
60.0,20.0,20.0,103.0,29.0,2.0,780.0,18.0
85.0,5.0,15.0,105.0,13.0,0.0,740.0,15.0
85.0,5.0,15.0,105.0,13.0,1.0,740.0,15.0
85.0,5.0,15.0,105.0,13.0,3.0,740.0,15.0
85.0,5.0,15.0,105.0,13.0,5.0,740.0,15.0
94.0,4.0,2.0,101.0,21.0,1.0,680.0,10.0
94.0,4.0,2.0,101.0,21.0,1.0,700.0,10.0
94.0,4.0,2.0,101.0,21.0,1.0,730.0,10.0
94.0,4.0,2.0,101.0,21.0,1.0,750.0,10.0
94.0,4.0,2.0,101.0,21.0,1.0,780.0,10.0
100.0,0.0,0.0,101.0,0.0,1.0,650.0,10.0
100.0,0.0,0.0,101.0,0.0,1.0,680.0,10.0
100.0,0.0,0.0,101.0,0.0,1.0,700.0,10.0
100.0,0.0,0.0,101.0,0.0,1.0,730.0,10.0
100.0,0.0,0.0,101.0,0.0,1.0,750.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,650.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,680.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,700.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,730.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,750.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,770.0,10.0
100.0,0.0,0.0,101.0,16.0,1.0,800.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,650.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,680.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,700.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,730.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,750.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,770.0,10.0
100.0,0.0,0.0,101.0,21.0,3.0,800.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,650.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,680.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,700.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,730.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,750.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,770.0,10.0
100.0,0.0,0.0,101.0,14.0,1.0,800.0,10.0
90.0,4.0,5.0,102.0,13.0,1.0,480.0,3.0
90.0,3.5,5.0,102.0,13.0,1.0,480.0,3.0
90.0,3.0,5.0,102.0,13.0,1.0,480.0,3.0
90.0,5.0,4.0,102.0,13.0,1.0,480.0,3.0
80.0,4.0,4.0,105.0,29.0,2.0,800.0,10.0
90.0,5.0,5.0,103.0,17.0,3.0,730.0,10.0
90.0,5.0,5.0,102.0,0.0,5.0,720.0,15.0
80.0,15.0,5.0,105.0,15.0,1.0,750.0,12.0
80.0,15.0,5.0,105.0,15.0,2.0,750.0,12.0
80.0,15.0,5.0,105.0,15.0,5.0,750.0,12.0
90.0,5.0,5.0,105.0,8.0,1.0,750.0,12.0
90.0,5.0,5.0,105.0,8.0,2.0,750.0,12.0
90.0,5.0,5.0,105.0,8.0,4.0,750.0,12.0
70.0,30.0,0.0,102.0,5.0,2.0,800.0,10.0
70.0,30.0,0.0,102.0,5.0,10.0,800.0,10.0
70.0,30.0,0.0,102.0,5.0,15.0,800.0,10.0
80.0,1.0,1.0,105.0,3.0,2.0,800.0,12.0
80.0,1.0,1.0,105.0,3.0,4.0,800.0,12.0
80.0,1.0,1.0,105.0,3.0,6.0,800.0,12.0
80.0,1.0,1.0,105.0,3.0,8.0,800.0,12.0
80.0,1.0,1.0,105.0,13.0,1.0,780.0,12.0
80.0,1.0,1.0,105.0,13.0,3.0,780.0,12.0
80.0,1.0,1.0,105.0,13.0,5.0,780.0,12.0
80.0,1.0,1.0,105.0,13.0,6.0,780.0,12.0
81.5,15.0,3.0,105.0,29.0,0.0,750.0,12.0
81.5,15.0,3.0,105.0,29.0,1.0,750.0,12.0
81.5,15.0,3.0,105.0,29.0,5.0,750.0,12.0
88.0,2.5,9.0,105.0,0.0,1.0,760.0,16.0
88.0,2.5,9.0,105.0,0.0,2.0,760.0,16.0
88.0,2.5,9.0,105.0,0.0,3.0,760.0,16.0
90.0,5.0,5.0,101.0,1.0,0.0,750.0,10.0
90.0,5.0,5.0,101.0,1.0,1.0,750.0,10.0
100.0,0.0,0.0,105.0,6.0,5.0,800.0,12.0
100.0,0.0,0.0,105.0,6.0,10.0,800.0,12.0
100.0,0.0,0.0,105.0,6.0,15.0,800.0,12.0
100.0,0.0,0.0,105.0,6.0,20.0,800.0,12.0
80.0,1.0,1.0,105.0,4.0,0.0,750.0,12.0
80.0,1.0,1.0,105.0,4.0,1.0,750.0,12.0
80.0,1.0,1.0,105.0,4.0,2.0,750.0,12.0
89.7,5.0,5.0,101.0,20.0,3.0,750.0,10.0
90.0,0.0,10.0,105.0,24.0,3.0,750.0,12.0
90.0,0.0,10.0,105.0,24.0,5.0,750.0,12.0
90.0,0.0,10.0,105.0,24.0,7.0,750.0,12.0
90.0,0.0,10.0,105.0,24.0,9.0,750.0,12.0
60.0,20.0,20.0,108.0,16.0,0.0,870.0,15.0
60.0,20.0,20.0,108.0,16.0,1.0,870.0,15.0
60.0,20.0,20.0,108.0,16.0,2.0,870.0,15.0
80.0,10.0,10.0,105.0,13.0,1.0,750.0,10.0
80.0,10.0,10.0,105.0,0.0,1.0,750.0,10.0
80.0,10.0,10.0,105.0,19.0,1.0,750.0,10.0
80.0,10.0,10.0,105.0,24.0,1.0,750.0,10.0
80.0,10.0,10.0,105.0,29.0,1.0,750.0,10.0
80.0,10.0,10.0,105.0,21.0,1.0,750.0,10.0
94.0,0.0,6.0,101.0,13.0,0.0,680.0,15.0
92.0,36.0,44.0,101.0,0.0,1.0,750.0,10.0
92.0,36.0,44.0,101.0,16.0,1.0,750.0,10.0
90.0,10.0,0.0,105.0,16.0,0.0,770.0,20.0
90.0,10.0,0.0,105.0,16.0,1.0,770.0,20.0
90.0,10.0,0.0,105.0,16.0,2.0,770.0,20.0
80.0,10.0,10.0,105.0,2.0,5.0,775.0,15.0
80.0,10.0,10.0,105.0,5.0,5.0,775.0,15.0
80.0,10.0,10.0,105.0,8.0,5.0,775.0,15.0
80.0,7.0,10.0,105.0,13.0,3.0,850.0,12.0
80.0,7.0,10.0,105.0,7.0,3.0,850.0,12.0
90.0,5.0,5.0,104.0,14.0,0.0,760.0,10.0
90.0,5.0,5.0,104.0,14.0,1.0,760.0,10.0
90.0,5.0,5.0,104.0,14.0,1.0,760.0,10.0
0.76,0.14,0.0,105.0,0.0,1.0,790.0,12.0
0.75,0.14,0.0,105.0,0.0,2.0,790.0,12.0
90.0,0.0,10.0,102.0,12.0,0.0,730.0,10.0
83.0,5.0,12.0,105.0,16.0,1.0,730.0,12.0
89.9,5.0,5.0,101.0,26.0,0.0,770.0,10.0
89.6,4.7,4.0,101.0,26.0,1.0,770.0,10.0
80.0,10.0,10.0,105.0,13.0,0.0,780.0,12.0
80.0,10.0,10.0,105.0,18.0,2.0,800.0,12.0
80.0,10.0,10.0,105.0,18.0,5.0,800.0,12.0
80.0,10.0,10.0,105.0,18.0,7.0,800.0,12.0
90.0,2.0,8.0,105.0,13.0,2.0,710.0,15.0
90.0,2.0,8.0,105.0,21.0,1.0,710.0,15.0
90.0,5.0,5.0,101.0,1.0,0.0,750.0,10.0
90.0,5.0,5.0,101.0,1.0,1.0,750.0,10.0
92.0,4.0,4.0,105.0,26.0,0.0,780.0,10.0
92.0,4.0,4.0,105.0,26.0,0.0,780.0,10.0
92.0,4.0,4.0,105.0,26.0,1.0,780.0,10.0
92.0,4.0,4.0,105.0,26.0,2.0,780.0,10.0
90.0,0.0,10.0,105.0,23.0,0.0,750.0,15.0
90.0,0.0,10.0,105.0,23.0,1.0,750.0,15.0
90.0,0.0,10.0,105.0,23.0,2.0,750.0,15.0
94.0,1.5,4.0,103.0,10.0,0.0,680.0,24.0
94.0,1.5,4.0,103.0,10.0,0.0,680.0,24.0
80.0,10.0,10.0,105.0,24.0,1.0,900.0,10.0
80.0,10.0,10.0,105.0,24.0,1.0,900.0,10.0
80.0,10.0,10.0,105.0,16.0,0.0,650.0,6.0
95.0,2.5,2.0,101.0,26.0,0.0,700.0,10.0
95.0,2.5,2.0,101.0,8.0,0.0,700.0,10.0
80.0,10.0,10.0,105.0,8.0,2.0,720.0,12.0
80.0,10.0,10.0,105.0,8.0,4.0,720.0,12.0
80.0,10.0,10.0,105.0,8.0,6.0,720.0,12.0
80.0,10.0,10.0,105.0,8.0,8.0,720.0,12.0
94.0,3.0,3.0,103.0,29.0,0.0,680.0,24.0
94.0,3.0,3.0,103.0,10.0,0.0,680.0,24.0
90.0,5.0,5.0,101.0,4.0,1.0,800.0,30.0
90.0,5.0,5.0,101.0,4.0,2.0,850.0,30.0
80.0,10.0,10.0,101.0,27.0,1.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,2.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,3.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,4.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,1.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,2.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,3.0,780.0,15.0
80.0,10.0,10.0,101.0,27.0,4.0,780.0,15.0
94.0,0.0,4.0,103.0,28.0,2.0,640.0,15.0
85.0,5.0,10.0,105.0,16.0,0.0,760.0,6.0
90.0,0.0,10.0,101.0,1.0,0.0,730.0,10.0
90.0,0.0,10.0,101.0,1.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,1.0,1.0,730.0,10.0
90.0,0.0,10.0,101.0,1.0,2.0,730.0,10.0
90.0,0.0,10.0,101.0,1.0,1.0,750.0,10.0
90.0,0.0,10.0,101.0,1.0,1.0,780.0,10.0
94.0,3.0,3.0,103.0,1.0,0.0,680.0,24.0
95.0,2.0,3.0,101.0,0.0,1.0,680.0,10.0
95.0,2.0,3.0,101.0,0.0,1.0,700.0,10.0
95.0,2.0,3.0,101.0,0.0,1.0,730.0,10.0
95.0,2.0,3.0,101.0,0.0,1.0,750.0,10.0
80.0,10.0,10.0,105.0,16.0,0.0,750.0,20.0
80.0,10.0,10.0,105.0,16.0,0.0,750.0,20.0
94.0,1.5,4.0,103.0,10.0,0.0,680.0,24.0
94.0,1.5,4.0,103.0,10.0,0.0,680.0,24.0
80.0,10.0,10.0,102.0,7.0,0.0,800.0,16.0
80.0,10.0,10.0,102.0,7.0,1.0,800.0,16.0
80.0,10.0,10.0,102.0,7.0,2.0,800.0,16.0
92.0,4.0,4.0,101.0,0.0,1.0,750.0,10.0
92.0,4.0,4.0,101.0,0.0,3.0,750.0,10.0
92.0,4.0,4.0,101.0,0.0,5.0,750.0,10.0
83.0,6.0,11.0,115.0,22.0,0.0,760.0,18.0
83.0,6.0,11.0,115.0,22.0,1.0,760.0,18.0
92.0,4.0,4.0,105.0,24.0,1.0,790.0,15.0
92.0,4.0,4.0,105.0,24.0,2.0,790.0,15.0
92.0,4.0,4.0,105.0,24.0,3.0,790.0,15.0
85.0,5.0,8.0,105.0,0.0,2.0,750.0,10.0
85.0,5.0,6.0,105.0,0.0,4.0,750.0,10.0
70.0,30.0,0.0,105.0,8.0,1.0,450.0,12.0
80.0,20.0,0.0,105.0,8.0,2.0,450.0,12.0
90.0,10.0,0.0,105.0,8.0,4.0,450.0,12.0
80.0,0.0,20.0,110.0,24.0,1.0,750.0,12.0
80.0,0.0,20.0,110.0,24.0,2.0,750.0,12.0
80.0,0.0,20.0,110.0,24.0,5.0,750.0,12.0
99.5,0.0,0.0,103.0,16.0,0.0,730.0,16.0
99.0,0.0,0.0,103.0,16.0,1.0,730.0,16.0
98.0,0.0,0.0,103.0,16.0,2.0,730.0,16.0
89.6,4.7,4.0,101.0,26.0,0.0,770.0,10.0
89.6,4.7,4.0,101.0,26.0,1.0,770.0,10.0
90.0,5.0,5.0,105.0,26.0,0.0,680.0,15.0
90.0,5.0,5.0,105.0,26.0,0.0,680.0,15.0
90.0,5.0,5.0,105.0,26.0,1.0,680.0,15.0
100.0,0.0,0.0,101.0,26.0,1.0,770.0,10.0
100.0,0.0,0.0,101.0,26.0,1.0,790.0,10.0
100.0,0.0,0.0,101.0,26.0,2.0,810.0,10.0
80.0,10.0,10.0,105.0,21.0,0.0,750.0,10.0
90.0,5.0,5.0,101.0,20.0,0.0,750.0,10.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,10.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,30.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,60.0
96.0,0.0,4.0,101.0,26.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,17.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,16.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,21.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,24.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,0.0,1.0,800.0,10.0
92.0,4.0,4.0,100.0,26.0,1.0,780.0,10.0
92.0,4.0,4.0,100.0,26.0,2.0,780.0,10.0
92.0,4.0,4.0,100.0,26.0,0.0,780.0,10.0
92.0,4.0,4.0,100.0,26.0,0.0,780.0,10.0
88.8,5.6,5.0,100.0,16.0,0.0,780.0,10.0
88.8,5.6,5.0,100.0,16.0,0.0,780.0,10.0
88.8,5.6,5.0,100.0,16.0,1.0,780.0,10.0
85.0,0.0,10.0,105.0,0.0,5.0,750.0,15.0
90.0,0.0,7.0,105.0,0.0,3.0,750.0,20.0
80.0,10.0,10.0,105.0,27.0,0.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,0.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
90.0,10.0,0.0,105.0,16.0,0.0,770.0,20.0
90.0,10.0,0.0,105.0,16.0,1.0,770.0,20.0
90.0,10.0,0.0,105.0,16.0,2.0,770.0,20.0
100.0,0.0,0.0,103.0,0.0,3.0,730.0,16.0
100.0,0.0,0.0,103.0,0.0,5.0,730.0,16.0
100.0,0.0,0.0,103.0,0.0,7.0,730.0,16.0
90.0,10.0,0.0,103.0,26.0,1.0,720.0,12.0
90.0,10.0,0.0,103.0,13.0,1.0,720.0,12.0
94.0,0.0,4.0,105.0,0.0,2.0,750.0,20.0
95.0,0.0,5.0,104.0,14.0,0.0,760.0,10.0
95.0,0.0,5.0,104.0,14.0,1.0,760.0,10.0
95.0,0.0,5.0,104.0,14.0,1.0,760.0,10.0
81.5,0.0,15.0,105.0,0.0,3.0,750.0,21.0
90.0,10.0,0.0,104.0,24.0,2.0,750.0,12.0
90.0,5.0,5.0,101.0,0.0,0.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,1.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,2.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,3.0,750.0,28.0
90.0,5.0,5.0,101.0,0.0,5.0,750.0,28.0
90.0,10.0,0.0,103.0,24.0,1.0,800.0,12.0
90.0,10.0,0.0,103.0,24.0,2.0,800.0,12.0
90.0,10.0,0.0,103.0,24.0,5.0,800.0,12.0
90.0,10.0,0.0,103.0,29.0,1.0,800.0,12.0
90.0,10.0,0.0,103.0,29.0,2.0,800.0,12.0
90.0,10.0,0.0,103.0,29.0,5.0,800.0,12.0
90.0,10.0,0.0,103.0,11.0,1.0,800.0,12.0
90.0,10.0,0.0,103.0,11.0,2.0,800.0,12.0
90.0,10.0,0.0,103.0,11.0,5.0,800.0,12.0
95.0,5.0,0.0,105.0,0.0,1.0,730.0,16.0
95.0,5.0,0.0,105.0,0.0,3.0,730.0,16.0
95.0,5.0,0.0,105.0,0.0,5.0,730.0,16.0
90.0,5.0,5.0,101.0,20.0,0.0,750.0,10.0
90.0,5.0,5.0,101.0,20.0,0.0,750.0,10.0
90.0,0.0,10.0,101.0,0.0,1.0,730.0,10.0
96.0,0.0,4.0,101.0,0.0,1.0,700.0,10.0
100.0,0.0,0.0,101.0,26.0,1.0,770.0,10.0
100.0,0.0,0.0,101.0,26.0,1.0,790.0,10.0
100.0,0.0,0.0,101.0,26.0,2.0,810.0,10.0
100.0,0.0,0.0,101.0,29.0,0.0,650.0,10.0
96.0,0.0,4.0,101.0,0.0,1.0,700.0,10.0
96.0,0.0,4.0,101.0,14.0,0.0,700.0,10.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,10.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,10.0
96.0,0.0,4.0,101.0,14.0,2.0,700.0,10.0
92.0,4.0,4.0,101.0,0.0,1.0,750.0,10.0
92.0,4.0,4.0,101.0,0.0,3.0,750.0,10.0
92.0,4.0,4.0,101.0,0.0,5.0,750.0,10.0
81.5,0.0,15.0,105.0,0.0,3.0,750.0,15.0
80.0,0.0,15.0,115.0,0.0,5.0,720.0,15.0
